Lane,Type,Value,CellLine,Protein
6,Sample,455661,WT,Rpn11
7,Sample,88986,WT,Rpn11
8,Sample,11916,WT,Rpn11
9,Sample,16727,WT,Rpn11
10,Sample,116583,WT,Rpn11
11,Sample,33593,WT,Rpn11
12,Sample,51780,WT,Rpn11
13,Sample,349184,WT,Rpn11
14,Sample,216315,WT,Rpn11
15,Sample,70822,WT,Rpn11
16,Sample,1360,WT,Rpn11
17,Sample,657,WT,Rpn11
18,Sample,624,WT,Rpn11
19,Sample,1558,WT,Rpn11
20,Sample,1446,WT,Rpn11
21,Sample,415,WT,Rpn11
22,Sample,980,WT,Rpn11
23,Sample,1052,WT,Rpn11
24,Sample,1117,WT,Rpn11
1,Sample,6154,Razul,Rpn11
2,Sample,103,Razul,Rpn11
3,Sample,6640,Razul,Rpn11
4,Sample,86011,Razul,Rpn11
5,Sample,87606,Razul,Rpn11
6,Sample,43001,Razul,Rpn11
7,Sample,1256,Razul,Rpn11
8,Sample,3555,Razul,Rpn11
9,Sample,1789,Razul,Rpn11
10,Sample,6417,Razul,Rpn11
11,Sample,10555,Razul,Rpn11
12,Sample,63218,Razul,Rpn11
13,Sample,55610,Razul,Rpn11
14,Sample,32570,Razul,Rpn11
15,Sample,1586,Razul,Rpn11
16,Sample,4474,Razul,Rpn11
17,Sample,4513,Razul,Rpn11
18,Sample,2347,Razul,Rpn11
19,Sample,4232,Razul,Rpn11
20,Sample,2332,Razul,Rpn11
21,Sample,6659,Razul,Rpn11
22,Sample,5087,Razul,Rpn11
23,Sample,2058,Razul,Rpn11
24,Sample,1434,Razul,Rpn11
1,Sample,2921,UIM,Rpn11
2,Sample,2223,UIM,Rpn11
3,Sample,11637,UIM,Rpn11
4,Sample,13479,UIM,Rpn11
5,Sample,201051,UIM,Rpn11
6,Sample,167803,UIM,Rpn11
7,Sample,66787,UIM,Rpn11
8,Sample,46828,UIM,Rpn11
9,Sample,44751,UIM,Rpn11
10,Sample,10412,UIM,Rpn11
11,Sample,11918,UIM,Rpn11
12,Sample,211192,UIM,Rpn11
13,Sample,368986,UIM,Rpn11
14,Sample,501962,UIM,Rpn11
15,Sample,109973,UIM,Rpn11
16,Sample,6726,UIM,Rpn11
17,Sample,6401,UIM,Rpn11
18,Sample,4368,UIM,Rpn11
19,Sample,1137,UIM,Rpn11
20,Sample,568,UIM,Rpn11
21,Sample,1120,UIM,Rpn11
22,Sample,367,UIM,Rpn11
23,Sample,1563,UIM,Rpn11
24,Sample,2522,UIM,Rpn11
1,Sample,3815,WT,beta5
2,Sample,1815,WT,beta5
3,Sample,3882,WT,beta5
4,Sample,2875,WT,beta5
5,Sample,4669,WT,beta5
6,Sample,825,WT,beta5
7,Sample,3866,WT,beta5
8,Sample,2611,WT,beta5
9,Sample,536365,WT,beta5
10,Sample,753648,WT,beta5
11,Sample,737197,WT,beta5
12,Sample,712202,WT,beta5
13,Sample,857626,WT,beta5
14,Sample,680515,WT,beta5
15,Sample,535285,WT,beta5
16,Sample,54767,WT,beta5
17,Sample,66727,WT,beta5
18,Sample,31710,WT,beta5
19,Sample,13406,WT,beta5
20,Sample,9493,WT,beta5
21,Sample,1879,WT,beta5
22,Sample,4106,WT,beta5
23,Sample,6547,WT,beta5
24,Sample,5769,WT,beta5
1,Sample,2953,Razul,beta5
2,Sample,8927,Razul,beta5
3,Sample,8876,Razul,beta5
4,Sample,301,Razul,beta5
5,Sample,10257,Razul,beta5
6,Sample,7392,Razul,beta5
7,Sample,9070,Razul,beta5
8,Sample,348920,Razul,beta5
9,Sample,501377,Razul,beta5
10,Sample,533953,Razul,beta5
11,Sample,676478,Razul,beta5
12,Sample,686002,Razul,beta5
13,Sample,572718,Razul,beta5
14,Sample,582803,Razul,beta5
15,Sample,280535,Razul,beta5
16,Sample,59383,Razul,beta5
17,Sample,6876,Razul,beta5
18,Sample,5956,Razul,beta5
19,Sample,5576,Razul,beta5
20,Sample,6480,Razul,beta5
21,Sample,8083,Razul,beta5
22,Sample,166,Razul,beta5
23,Sample,339,Razul,beta5
24,Sample,1997,Razul,beta5
1,Sample,10688,UIM,beta5
2,Sample,6933,UIM,beta5
3,Sample,1685,UIM,beta5
4,Sample,182,UIM,beta5
5,Sample,1366,UIM,beta5
6,Sample,3267,UIM,beta5
7,Sample,431,UIM,beta5
8,Sample,18633,UIM,beta5
9,Sample,564062,UIM,beta5
10,Sample,743749,UIM,beta5
11,Sample,753704,UIM,beta5
12,Sample,835009,UIM,beta5
13,Sample,860264,UIM,beta5
14,Sample,943944,UIM,beta5
15,Sample,600992,UIM,beta5
16,Sample,104157,UIM,beta5
17,Sample,39487,UIM,beta5
18,Sample,27531,UIM,beta5
19,Sample,15960,UIM,beta5
20,Sample,2817,UIM,beta5
21,Sample,7395,UIM,beta5
22,Sample,3157,UIM,beta5
23,Sample,3130,UIM,beta5
24,Sample,2970,UIM,beta5
