"","Accession","Gene_Name"
"933","Q5CZ79","ANKRD20A8P"
"934","Q5RKV6","EXOSC6"
"935","Q5SNV9","C1orf167"
"936","Q8IXS0","FAM217A"
"937","Q8IY92","SLX4"
"938","Q8IYA2","CCDC144CP"
"939","Q8IYB8","SUPV3L1"
"940","Q8IZA0","KIAA0319L"
"941","Q8IZF6","ADGRG4"
"942","Q8N1F7","NUP93"
"943","Q8N328","PGBD3"
"944","Q8N350","CBARP"
"945","Q8N3T6","TMEM132C"
"946","Q8N428","GALNT16"
"947","Q8N5N7","MRPL50"
"948","Q8N697","SLC15A4"
"949","Q8N7Q3","ZNF676"
"950","Q8N8N7","PTGR2"
"951","Q8NB16","MLKL"
"952","Q8NBU5","ATAD1"
"953","Q8NCX0","CCDC150"
"954","Q8NDX5","PHC3"
"955","Q8NE71","ABCF1"
"956","Q8NEZ4","KMT2C"
"957","Q8NF91","SYNE1"
"958","Q8NFZ4","NLGN2"
"959","Q8NGA1","OR1M1"
"960","Q8NGR8","OR1L8"
"961","Q8NHM5","KDM2B"
"962","Q8TAF3","WDR48"
"963","Q8TB22","SPATA20"
"964","Q8TB72","PUM2"
"965","Q8TBA6","GOLGA5"
"966","Q8TEA7","TBCK"
"967","Q8TEH3","DENND1A"
"968","Q8TEK3","DOT1L"
"969","Q8TEQ0","SNX29"
"970","Q8TEQ6","GEMIN5"
"971","Q8TEW0","PARD3"
"972","Q8WTP8","AEN"
"973","Q8WWL2","SPIRE2"
"974","Q8WX93","PALLD"
"975","Q8WYP5","AHCTF1"
"976","Q92485","SMPDL3B"
"977","Q92506","HSD17B8"
"978","Q92552","MRPS27"
"979","Q92614","MYO18A"
"980","Q92817","EVPL"
"981","Q92878","RAD50"
"982","Q92932","PTPRN2"
"983","Q92973","TNPO1"
"984","Q96BH1","RNF25"
"985","Q96CT7","CCDC124"
"986","Q96D03","DDIT4L"
"987","Q96DN2","VWCE"
"988","Q96DT7","ZBTB10"
"989","Q96F86","EDC3"
"990","Q96FV9","THOC1"
"991","Q96G74","OTUD5"
"992","Q96IV0","NGLY1"
"993","Q96J42","TXNDC15"
"994","Q96JM2","ZNF462"
"995","Q96L42","KCNH8"
"996","Q96L91","EP400"
"997","Q96M94","KLHL15"
"998","Q96MF2","STAC3"
"999","Q96PE2","ARHGEF17"
"1000","Q96QU1","PCDH15"
"1001","Q96QU8","XPO6"
"1002","Q96RS6","NUDCD1"
"1003","Q96S55","WRNIP1"
"1004","Q99614","TTC1"
"1005","Q99965","ADAM2"
"1006","Q9BQA1","WDR77"
"1007","Q9BQG1","SYT3"
"1008","Q9BTW9","TBCD"
"1009","Q9BWU0","SLC4A1AP"
"1010","Q9BZF9","UACA"
"1011","Q9C0F1","CEP44"
"1012","Q9C0J8","WDR33"
"1013","Q9H009","NACA2"
"1014","Q9H0J9","PARP12"
"1015","Q9H254","SPTBN4"
"1016","Q9H2S1","KCNN2"
"1017","Q9H426","RIMS4"
"1018","Q9H4P4","RNF41"
"1019","Q9H6S0","YTHDC2"
"1020","Q9H7Z7","PTGES2"
"1021","Q9HD33","MRPL47"
"1022","Q9NP71","MLXIPL"
"1023","Q9NPF5","DMAP1"
"1024","Q9NQC3","RTN4"
"1025","Q9NQG7","HPS4"
"1026","Q9NR31","SAR1A"
"1027","Q9NR50","EIF2B3"
"1028","Q9NUU7","DDX19A"
"1029","Q9NWL6","ASNSD1"
"1030","Q9NWS1","PARPBP"
"1031","Q9NZ72","STMN3"
"1032","Q9NZJ4","SACS"
"1033","Q9NZL4","HSPBP1"
"1034","Q9NZL6","RGL1"
"1035","Q9NZN9","AIPL1"
"1036","Q9NZQ9","TMOD4"
"1037","Q9NZT1","CALML5"
"1038","Q9NZV1","CRIM1"
"1039","Q9P1Z9","CCDC180"
"1040","Q9P260","RELCH"
"1041","Q9P2D3","HEATR5B"
"1042","Q9P2D7","DNAH1"
"1043","Q9P2Y5","UVRAG"
"1044","Q9UBB9","TFIP11"
"1045","Q9UBC3","DNMT3B"
"1046","Q9UBS0","RPS6KB2"
"1047","Q9UBS9","SUCO"
"1048","Q9UBT7","CTNNAL1"
"1049","Q9UBU9","NXF1"
"1050","Q9UC06","ZNF70"
"1051","Q9UGQ3","SLC2A6"
"1052","Q9UH73","EBF1"
"1053","Q9UJX2","CDC23"
"1054","Q9UK32","RPS6KA6"
"1055","Q9UK73","FEM1B"
"1056","Q9UKN7","MYO15A"
"1057","Q9UKT9","IKZF3"
"1058","Q9UKU9","ANGPTL2"
"1059","Q9UL25","RAB21"
"1060","Q9ULI3","HEG1"
"1061","Q9ULT8","HECTD1"
"1062","Q9ULW0","TPX2"
"1063","Q9ULX5","RNF112"
"1064","Q9UN72","PCDHA7"
"1065","Q9UNH5","CDC14A"
"1066","Q9UP95","SLC12A4"
"1067","Q9UPA5","BSN"
"1068","Q9Y2G5","POFUT2"
"1069","Q9Y2T1","AXIN2"
"1070","Q9Y2V7","COG6"
"1071","Q9Y3A3","MOB4"
"1072","Q9Y467","SALL2"
"1073","Q9Y4D8","HECTD4"
"1074","Q9Y4L1","HYOU1"
"1075","Q9Y4L5","RNF115"
"1076","Q9Y5B9","SUPT16H"
"1077","Q9Y664","KPTN"
"1078","Q9Y6D9","MAD1L1"
"1079","Q9Y6Y8","SEC23IP"
