"","Accession","Gene_Name"
"216","Q0VD86","INCA1"
"217","Q12789","GTF3C1"
"218","Q12882","DPYD"
"219","Q12996","CSTF3"
"220","Q13061","TRDN"
"221","Q13144","EIF2B5"
"222","Q13232","NME3"
"223","Q13416","ORC2"
"224","Q13428","TCOF1"
"225","Q13618","CUL3"
"226","Q13620","CUL4B"
"227","Q13625","TP53BP2"
"228","Q13797","ITGA9"
"229","Q14123","PDE1C"
"230","Q14126","DSG2"
"231","Q14155","ARHGEF7"
"232","Q14244","MAP7"
"233","Q14254","FLOT2"
"234","Q14258","TRIM25"
"235","Q14697","GANAB"
"236","Q14940","SLC9A5"
"237","Q14952","KIR2DS3"
"238","Q14CM0","FRMPD4"
"239","Q15020","SART3"
"240","Q15036","SNX17"
"241","Q15370","ELOB"
"242","Q15413","RYR3"
"243","Q15477","SKIC2"
"244","Q15678","PTPN14"
"245","Q15717","ELAVL1"
"246","Q15833","STXBP2"
"247","Q16643","DBN1"
"248","Q16654","PDK4"
"249","Q16778","H2BC21"
"250","Q2M329","CFAP184"
"251","Q2M3G0","ABCB5"
"252","Q3V6T2","CCDC88A"
"253","Q495M3","SLC36A2"
"254","Q4G0N4","NADK2"
"255","Q4KWH8","PLCH1"
"256","Q4LE39","ARID4B"
"257","Q52LW3","ARHGAP29"
"258","Q53G59","KLHL12"
"259","Q53GI3","ZNF394"
"260","Q53GL7","PARP10"
"261","Q5CZC0","FSIP2"
"262","Q5D862","FLG2"
"263","Q5H8C1","FREM1"
"264","Q5HYW2","NHSL2"
"265","Q5JPE7","NOMO2"
"266","Q5JQS6","GCSAML"
"267","Q5JRM2","CXorf66"
"268","Q5SQI0","ATAT1"
"269","Q5SXM2","SNAPC4"
"270","Q5T4T6","SYCP2L"
"271","Q5T5J6","SWT1"
"272","Q5T9A4","ATAD3B"
"273","Q5U649","C12orf60"
"274","Q5UIP0","RIF1"
"275","Q5VZK9","CARMIL1"
"276","Q5XKR4","OTP"
"277","Q60I27","ALS2CL"
"278","Q68DE3","USF3"
"279","Q68E01","INTS3"
"280","Q6FIF0","ZFAND6"
"281","Q6IE81","JADE1"
"282","Q6NUQ4","TMEM214"
"283","Q6P5R6","RPL22L1"
"284","Q6UUV7","CRTC3"
"285","Q6UX65","DRAM2"
"286","Q6XZB0","LIPI"
"287","Q6ZMK1",""
"288","Q6ZNB7","AGMO"
"289","Q6ZP82","CCDC141"
"290","Q75V66","ANO5"
"291","Q7KZF4","SND1"
