Lane,Type,Value,CellLine,Protein
6,Background,182.969,deltaUIM,ECPAS
7,Background,183.723,deltaUIM,ECPAS
8,Background,183.466,deltaUIM,ECPAS
9,Background,184.046,deltaUIM,ECPAS
10,Background,184.598,deltaUIM,ECPAS
11,Background,183.66,deltaUIM,ECPAS
12,Background,183.125,deltaUIM,ECPAS
13,Background,182.935,deltaUIM,ECPAS
14,Background,182.627,deltaUIM,ECPAS
15,Background,183.406,deltaUIM,ECPAS
16,Background,183.225,deltaUIM,ECPAS
17,Background,184.206,deltaUIM,ECPAS
18,Background,186.174,deltaUIM,ECPAS
19,Background,186.41,deltaUIM,ECPAS
20,Background,186.988,deltaUIM,ECPAS
21,Background,186.703,deltaUIM,ECPAS
22,Background,185.867,deltaUIM,ECPAS
23,Background,185.531,deltaUIM,ECPAS
24,Background,185.32,deltaUIM,ECPAS
1,Sample,180.775,deltaUIM,ECPAS
2,Sample,177.698,deltaUIM,ECPAS
3,Sample,173.185,deltaUIM,ECPAS
4,Sample,128.569,deltaUIM,ECPAS
5,Sample,110.406,deltaUIM,ECPAS
6,Sample,112.515,deltaUIM,ECPAS
7,Sample,129.508,deltaUIM,ECPAS
8,Sample,135.42,deltaUIM,ECPAS
9,Sample,143.085,deltaUIM,ECPAS
10,Sample,148.205,deltaUIM,ECPAS
11,Sample,154.342,deltaUIM,ECPAS
12,Sample,167.993,deltaUIM,ECPAS
13,Sample,175.474,deltaUIM,ECPAS
14,Sample,177.812,deltaUIM,ECPAS
15,Sample,180.472,deltaUIM,ECPAS
16,Sample,177.493,deltaUIM,ECPAS
17,Sample,181.609,deltaUIM,ECPAS
18,Sample,184.408,deltaUIM,ECPAS
19,Sample,184.745,deltaUIM,ECPAS
20,Sample,185.722,deltaUIM,ECPAS
21,Sample,185.666,deltaUIM,ECPAS
22,Sample,185.16,deltaUIM,ECPAS
23,Sample,184.883,deltaUIM,ECPAS
24,Sample,185.087,deltaUIM,ECPAS
1,Background,185.278,deltaUIM,Rpn8
2,Background,185.041,deltaUIM,Rpn8
3,Background,184.108,deltaUIM,Rpn8
4,Background,185.603,deltaUIM,Rpn8
5,Background,185.562,deltaUIM,Rpn8
6,Background,184.916,deltaUIM,Rpn8
7,Background,185.567,deltaUIM,Rpn8
8,Background,185.958,deltaUIM,Rpn8
9,Background,185.815,deltaUIM,Rpn8
10,Background,185.855,deltaUIM,Rpn8
11,Background,183.689,deltaUIM,Rpn8
12,Background,182.866,deltaUIM,Rpn8
13,Background,182.508,deltaUIM,Rpn8
14,Background,181.179,deltaUIM,Rpn8
15,Background,181.996,deltaUIM,Rpn8
16,Background,179.987,deltaUIM,Rpn8
17,Background,181.027,deltaUIM,Rpn8
18,Background,183.107,deltaUIM,Rpn8
19,Background,185.391,deltaUIM,Rpn8
20,Background,185.8,deltaUIM,Rpn8
21,Background,186.099,deltaUIM,Rpn8
22,Background,186.083,deltaUIM,Rpn8
23,Background,185.527,deltaUIM,Rpn8
24,Background,184.952,deltaUIM,Rpn8
1,Sample,184.522,deltaUIM,Rpn8
2,Sample,180.203,deltaUIM,Rpn8
3,Sample,180.528,deltaUIM,Rpn8
4,Sample,182.762,deltaUIM,Rpn8
5,Sample,177.76,deltaUIM,Rpn8
6,Sample,168.053,deltaUIM,Rpn8
7,Sample,172.277,deltaUIM,Rpn8
8,Sample,176.602,deltaUIM,Rpn8
9,Sample,179.266,deltaUIM,Rpn8
10,Sample,168.466,deltaUIM,Rpn8
11,Sample,170.405,deltaUIM,Rpn8
12,Sample,176.241,deltaUIM,Rpn8
13,Sample,172.236,deltaUIM,Rpn8
14,Sample,140.673,deltaUIM,Rpn8
15,Sample,160.635,deltaUIM,Rpn8
16,Sample,110.625,deltaUIM,Rpn8
17,Sample,129.556,deltaUIM,Rpn8
18,Sample,128.864,deltaUIM,Rpn8
19,Sample,168.423,deltaUIM,Rpn8
20,Sample,178.42,deltaUIM,Rpn8
21,Sample,182.126,deltaUIM,Rpn8
22,Sample,186.08,deltaUIM,Rpn8
23,Sample,185.686,deltaUIM,Rpn8
24,Sample,184.97,deltaUIM,Rpn8
1,Background,186.411,deltaUIM,Rpn10
2,Background,185.922,deltaUIM,Rpn10
3,Background,186.017,deltaUIM,Rpn10
4,Background,186.033,deltaUIM,Rpn10
5,Background,185.834,deltaUIM,Rpn10
6,Background,185.514,deltaUIM,Rpn10
7,Background,185.571,deltaUIM,Rpn10
8,Background,185.536,deltaUIM,Rpn10
9,Background,185.97,deltaUIM,Rpn10
10,Background,185.667,deltaUIM,Rpn10
11,Background,184.362,deltaUIM,Rpn10
12,Background,183.436,deltaUIM,Rpn10
13,Background,183.374,deltaUIM,Rpn10
14,Background,182.41,deltaUIM,Rpn10
15,Background,182.648,deltaUIM,Rpn10
16,Background,182.638,deltaUIM,Rpn10
17,Background,179.624,deltaUIM,Rpn10
18,Background,183.925,deltaUIM,Rpn10
19,Background,185.84,deltaUIM,Rpn10
20,Background,185.777,deltaUIM,Rpn10
21,Background,185.877,deltaUIM,Rpn10
22,Background,185.885,deltaUIM,Rpn10
23,Background,185.221,deltaUIM,Rpn10
24,Background,185.128,deltaUIM,Rpn10
1,Sample,185.359,deltaUIM,Rpn10
2,Sample,185.031,deltaUIM,Rpn10
3,Sample,185.549,deltaUIM,Rpn10
4,Sample,186.206,deltaUIM,Rpn10
5,Sample,186.167,deltaUIM,Rpn10
6,Sample,185.335,deltaUIM,Rpn10
7,Sample,185.02,deltaUIM,Rpn10
8,Sample,185.318,deltaUIM,Rpn10
9,Sample,185.221,deltaUIM,Rpn10
10,Sample,183.386,deltaUIM,Rpn10
11,Sample,175.429,deltaUIM,Rpn10
12,Sample,160.023,deltaUIM,Rpn10
13,Sample,163.557,deltaUIM,Rpn10
14,Sample,129.496,deltaUIM,Rpn10
15,Sample,108.423,deltaUIM,Rpn10
16,Sample,104.882,deltaUIM,Rpn10
17,Sample,105.064,deltaUIM,Rpn10
18,Sample,117.497,deltaUIM,Rpn10
19,Sample,142.709,deltaUIM,Rpn10
20,Sample,164.893,deltaUIM,Rpn10
21,Sample,180.606,deltaUIM,Rpn10
22,Sample,184.938,deltaUIM,Rpn10
23,Sample,185.519,deltaUIM,Rpn10
24,Sample,185.208,deltaUIM,Rpn10
1,Background,187.76,deltaUIM,beta5
2,Background,188.228,deltaUIM,beta5
3,Background,187.872,deltaUIM,beta5
4,Background,187.189,deltaUIM,beta5
5,Background,187.613,deltaUIM,beta5
6,Background,187.801,deltaUIM,beta5
7,Background,187.586,deltaUIM,beta5
8,Background,186.892,deltaUIM,beta5
9,Background,187.387,deltaUIM,beta5
10,Background,187.285,deltaUIM,beta5
11,Background,187.33,deltaUIM,beta5
12,Background,186.428,deltaUIM,beta5
13,Background,186.144,deltaUIM,beta5
14,Background,185.929,deltaUIM,beta5
15,Background,185.157,deltaUIM,beta5
16,Background,185.803,deltaUIM,beta5
17,Background,186.096,deltaUIM,beta5
18,Background,186.728,deltaUIM,beta5
19,Background,187.147,deltaUIM,beta5
20,Background,187.78,deltaUIM,beta5
21,Background,187.738,deltaUIM,beta5
22,Background,187.966,deltaUIM,beta5
23,Background,187.925,deltaUIM,beta5
24,Background,187.529,deltaUIM,beta5
1,Sample,187.585,deltaUIM,beta5
2,Sample,188.283,deltaUIM,beta5
3,Sample,187.549,deltaUIM,beta5
4,Sample,187.491,deltaUIM,beta5
5,Sample,187.162,deltaUIM,beta5
6,Sample,187.728,deltaUIM,beta5
7,Sample,187.466,deltaUIM,beta5
8,Sample,187.421,deltaUIM,beta5
9,Sample,187.269,deltaUIM,beta5
10,Sample,181.263,deltaUIM,beta5
11,Sample,164.745,deltaUIM,beta5
12,Sample,160.771,deltaUIM,beta5
13,Sample,157.181,deltaUIM,beta5
14,Sample,137.18,deltaUIM,beta5
15,Sample,123.841,deltaUIM,beta5
16,Sample,119.578,deltaUIM,beta5
17,Sample,129.688,deltaUIM,beta5
18,Sample,145.09,deltaUIM,beta5
19,Sample,179.98,deltaUIM,beta5
20,Sample,186.834,deltaUIM,beta5
21,Sample,187.588,deltaUIM,beta5
22,Sample,187.996,deltaUIM,beta5
23,Sample,187.943,deltaUIM,beta5
24,Sample,187.021,deltaUIM,beta5
1,Background,188.356,WT,beta5
2,Background,188.129,WT,beta5
3,Background,187.597,WT,beta5
4,Background,187.57,WT,beta5
5,Background,187.927,WT,beta5
6,Background,187.758,WT,beta5
7,Background,187.036,WT,beta5
8,Background,187.403,WT,beta5
9,Background,186.831,WT,beta5
10,Background,187.326,WT,beta5
11,Background,187.469,WT,beta5
12,Background,186.179,WT,beta5
13,Background,185.803,WT,beta5
14,Background,186.132,WT,beta5
15,Background,185.918,WT,beta5
16,Background,186.357,WT,beta5
17,Background,187.445,WT,beta5
18,Background,187.584,WT,beta5
19,Background,187.955,WT,beta5
20,Background,188.171,WT,beta5
21,Background,188.277,WT,beta5
22,Background,188.047,WT,beta5
23,Background,187.678,WT,beta5
24,Background,187.202,WT,beta5
